,id,name,color,habitat,shape,poke_type,capture_chance,height,weight,ability_0,ability_1,ability_2,sprite,description
61,62,poliwrath,blue,waters-edge,humanoid,water,0.18,13,540,water-absorb,damp,swift-swim,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,blue humanoid poliwrath who is of water type and lives in waters-edge.
62,63,abra,brown,urban,upright,psychic,0.78,9,195,synchronize,inner-focus,magic-guard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,brown upright abra who is of psychic type and lives in urban.
63,64,kadabra,brown,urban,upright,psychic,0.39,13,565,synchronize,inner-focus,magic-guard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,brown upright kadabra who is of psychic type and lives in urban.
64,65,alakazam,brown,urban,humanoid,psychic,0.2,15,480,synchronize,inner-focus,magic-guard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,brown humanoid alakazam who is of psychic type and lives in urban.
65,66,machop,gray,mountain,upright,fighting,0.71,8,195,guts,no-guard,steadfast,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,gray upright machop who is of fighting type and lives in mountain.
66,67,machoke,gray,mountain,humanoid,fighting,0.35,15,705,guts,no-guard,steadfast,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,gray humanoid machoke who is of fighting type and lives in mountain.
67,68,machamp,gray,mountain,humanoid,fighting,0.18,16,1300,guts,no-guard,steadfast,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,gray humanoid machamp who is of fighting type and lives in mountain.
68,69,bellsprout,green,forest,humanoid,grass,1.0,7,40,chlorophyll,gluttony,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,green humanoid bellsprout who is of grass type and lives in forest.
69,70,weepinbell,green,forest,blob,grass,0.47,10,64,chlorophyll,gluttony,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,green blob weepinbell who is of grass type and lives in forest.
70,71,victreebel,green,forest,blob,grass,0.18,17,155,chlorophyll,gluttony,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,green blob victreebel who is of grass type and lives in forest.
71,72,tentacool,blue,sea,tentacles,water,0.75,9,455,clear-body,liquid-ooze,rain-dish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,blue tentacles tentacool who is of water type and lives in sea.
72,73,tentacruel,blue,sea,tentacles,water,0.24,16,550,clear-body,liquid-ooze,rain-dish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,blue tentacles tentacruel who is of water type and lives in sea.
73,74,geodude,brown,mountain,arms,rock,1.0,4,200,rock-head,sturdy,sand-veil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,brown arms geodude who is of rock type and lives in mountain.
74,75,graveler,brown,mountain,humanoid,rock,0.47,10,1050,rock-head,sturdy,sand-veil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,brown humanoid graveler who is of rock type and lives in mountain.
75,76,golem,brown,mountain,humanoid,rock,0.18,14,3000,rock-head,sturdy,sand-veil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,brown humanoid golem who is of rock type and lives in mountain.
76,77,ponyta,yellow,grassland,quadruped,fire,0.75,10,300,run-away,flash-fire,flame-body,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,yellow quadruped ponyta who is of fire type and lives in grassland.
77,78,rapidash,yellow,grassland,quadruped,fire,0.24,17,950,run-away,flash-fire,flame-body,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,yellow quadruped rapidash who is of fire type and lives in grassland.
78,79,slowpoke,pink,waters-edge,quadruped,water,0.75,12,360,oblivious,own-tempo,regenerator,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,pink quadruped slowpoke who is of water type and lives in waters-edge.
79,80,slowbro,pink,waters-edge,upright,water,0.29,16,785,oblivious,own-tempo,regenerator,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,pink upright slowbro who is of water type and lives in waters-edge.
80,81,magnemite,gray,rough-terrain,arms,electric,0.75,3,60,magnet-pull,sturdy,analytic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,gray arms magnemite who is of electric type and lives in rough-terrain.
81,82,magneton,gray,rough-terrain,heads,electric,0.24,10,600,magnet-pull,sturdy,analytic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,gray heads magneton who is of electric type and lives in rough-terrain.
82,83,farfetchd,brown,grassland,wings,normal,0.18,8,150,keen-eye,inner-focus,defiant,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,brown wings farfetchd who is of normal type and lives in grassland.
83,84,doduo,brown,grassland,legs,normal,0.75,14,392,run-away,early-bird,tangled-feet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,brown legs doduo who is of normal type and lives in grassland.
84,85,dodrio,brown,grassland,legs,normal,0.18,18,852,run-away,early-bird,tangled-feet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,brown legs dodrio who is of normal type and lives in grassland.
85,86,seel,white,sea,fish,water,0.75,11,900,thick-fat,hydration,ice-body,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,white fish seel who is of water type and lives in sea.
86,87,dewgong,white,sea,fish,water,0.29,17,1200,thick-fat,hydration,ice-body,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,white fish dewgong who is of water type and lives in sea.
87,88,grimer,purple,urban,arms,poison,0.75,9,300,stench,sticky-hold,poison-touch,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,purple arms grimer who is of poison type and lives in urban.
88,89,muk,purple,urban,arms,poison,0.29,12,300,stench,sticky-hold,poison-touch,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,purple arms muk who is of poison type and lives in urban.
89,90,shellder,purple,sea,ball,water,0.75,3,40,shell-armor,skill-link,overcoat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,purple ball shellder who is of water type and lives in sea.
90,91,cloyster,purple,sea,ball,water,0.24,15,1325,shell-armor,skill-link,overcoat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,purple ball cloyster who is of water type and lives in sea.
91,92,gastly,purple,cave,ball,ghost,0.75,13,1,levitate,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,purple ball gastly who is of ghost type and lives in cave.
92,93,haunter,purple,cave,arms,ghost,0.35,16,1,levitate,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,purple arms haunter who is of ghost type and lives in cave.
93,94,gengar,purple,cave,upright,ghost,0.18,15,405,cursed-body,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,purple upright gengar who is of ghost type and lives in cave.
94,95,onix,gray,cave,squiggle,rock,0.18,88,2100,rock-head,sturdy,weak-armor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,gray squiggle onix who is of rock type and lives in cave.
95,96,drowzee,yellow,grassland,humanoid,psychic,0.75,10,324,insomnia,forewarn,inner-focus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,yellow humanoid drowzee who is of psychic type and lives in grassland.
96,97,hypno,yellow,grassland,humanoid,psychic,0.29,16,756,insomnia,forewarn,inner-focus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,yellow humanoid hypno who is of psychic type and lives in grassland.
97,98,krabby,red,waters-edge,armor,water,0.88,4,65,hyper-cutter,shell-armor,sheer-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,red armor krabby who is of water type and lives in waters-edge.
98,99,kingler,red,waters-edge,armor,water,0.24,13,600,hyper-cutter,shell-armor,sheer-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,red armor kingler who is of water type and lives in waters-edge.
99,100,voltorb,red,urban,ball,electric,0.75,5,104,soundproof,static,aftermath,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,red ball voltorb who is of electric type and lives in urban.
100,101,electrode,red,urban,ball,electric,0.24,12,666,soundproof,static,aftermath,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,red ball electrode who is of electric type and lives in urban.
101,102,exeggcute,pink,forest,heads,grass,0.35,4,25,chlorophyll,harvest,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,pink heads exeggcute who is of grass type and lives in forest.
102,103,exeggutor,yellow,forest,legs,grass,0.18,20,1200,chlorophyll,harvest,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,yellow legs exeggutor who is of grass type and lives in forest.
103,104,cubone,brown,mountain,upright,ground,0.75,4,65,rock-head,lightning-rod,battle-armor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,brown upright cubone who is of ground type and lives in mountain.
104,105,marowak,brown,mountain,upright,ground,0.29,10,450,rock-head,lightning-rod,battle-armor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,brown upright marowak who is of ground type and lives in mountain.
105,106,hitmonlee,brown,urban,humanoid,fighting,0.18,15,498,limber,reckless,unburden,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,brown humanoid hitmonlee who is of fighting type and lives in urban.
106,107,hitmonchan,brown,urban,humanoid,fighting,0.18,14,502,keen-eye,iron-fist,inner-focus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,brown humanoid hitmonchan who is of fighting type and lives in urban.
107,108,lickitung,pink,grassland,upright,normal,0.18,12,655,own-tempo,oblivious,cloud-nine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,pink upright lickitung who is of normal type and lives in grassland.
108,109,koffing,purple,urban,ball,poison,0.75,6,10,levitate,neutralizing-gas,stench,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,purple ball koffing who is of poison type and lives in urban.
109,110,weezing,purple,urban,heads,poison,0.24,12,95,levitate,neutralizing-gas,stench,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,purple heads weezing who is of poison type and lives in urban.
110,111,rhyhorn,gray,rough-terrain,quadruped,ground,0.47,10,1150,lightning-rod,rock-head,reckless,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,gray quadruped rhyhorn who is of ground type and lives in rough-terrain.
111,112,rhydon,gray,rough-terrain,upright,ground,0.24,19,1200,lightning-rod,rock-head,reckless,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,gray upright rhydon who is of ground type and lives in rough-terrain.
112,113,chansey,pink,urban,upright,normal,0.12,11,346,natural-cure,serene-grace,healer,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,pink upright chansey who is of normal type and lives in urban.
113,114,tangela,blue,grassland,legs,grass,0.18,10,350,chlorophyll,leaf-guard,regenerator,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,blue legs tangela who is of grass type and lives in grassland.
114,115,kangaskhan,brown,grassland,upright,normal,0.18,22,800,early-bird,scrappy,inner-focus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,brown upright kangaskhan who is of normal type and lives in grassland.
115,116,horsea,blue,sea,blob,water,0.88,4,80,swift-swim,sniper,damp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,blue blob horsea who is of water type and lives in sea.
116,117,seadra,blue,sea,blob,water,0.29,12,250,poison-point,sniper,damp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,blue blob seadra who is of water type and lives in sea.
117,118,goldeen,red,waters-edge,fish,water,0.88,6,150,swift-swim,water-veil,lightning-rod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,red fish goldeen who is of water type and lives in waters-edge.
118,119,seaking,red,waters-edge,fish,water,0.24,13,390,swift-swim,water-veil,lightning-rod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,red fish seaking who is of water type and lives in waters-edge.
119,120,staryu,brown,sea,blob,water,0.88,8,345,illuminate,natural-cure,analytic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,brown blob staryu who is of water type and lives in sea.
120,121,starmie,purple,sea,blob,water,0.24,11,800,illuminate,natural-cure,analytic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,purple blob starmie who is of water type and lives in sea.
121,122,mr-mime,pink,urban,humanoid,psychic,0.18,13,545,soundproof,filter,technician,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,pink humanoid mr-mime who is of psychic type and lives in urban.
122,123,scyther,green,grassland,bug-wings,bug,0.18,15,560,swarm,technician,steadfast,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,green bug-wings scyther who is of bug type and lives in grassland.
123,124,jynx,red,urban,humanoid,ice,0.18,14,406,oblivious,forewarn,dry-skin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,red humanoid jynx who is of ice type and lives in urban.
124,125,electabuzz,yellow,grassland,upright,electric,0.18,11,300,static,vital-spirit,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,yellow upright electabuzz who is of electric type and lives in grassland.
125,126,magmar,red,mountain,upright,fire,0.18,13,445,flame-body,vital-spirit,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,red upright magmar who is of fire type and lives in mountain.
126,127,pinsir,brown,forest,humanoid,bug,0.18,15,550,hyper-cutter,mold-breaker,moxie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,brown humanoid pinsir who is of bug type and lives in forest.
