,id,name,abilities,color,shape,habitat,capture_chance,height,weight,poke_type,sprite
17,18,pidgeot,"['keen-eye', 'tangled-feet', 'big-pecks']",brown,wings,forest,0.18,15,395,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
18,19,rattata,"['run-away', 'guts', 'hustle']",purple,quadruped,grassland,1.0,3,35,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
19,20,raticate,"['run-away', 'guts', 'hustle']",brown,quadruped,grassland,0.5,7,185,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
20,21,spearow,"['keen-eye', 'sniper']",brown,wings,rough-terrain,1.0,3,20,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
21,22,fearow,"['keen-eye', 'sniper']",brown,wings,rough-terrain,0.35,12,380,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
22,23,ekans,"['intimidate', 'shed-skin', 'unnerve']",purple,squiggle,grassland,1.0,20,69,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
23,24,arbok,"['intimidate', 'shed-skin', 'unnerve']",purple,squiggle,grassland,0.35,35,650,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
24,25,pikachu,"['static', 'lightning-rod']",yellow,quadruped,forest,0.75,4,60,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
25,26,raichu,"['static', 'lightning-rod']",yellow,upright,forest,0.29,8,300,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
26,27,sandshrew,"['sand-veil', 'sand-rush']",yellow,upright,rough-terrain,1.0,6,120,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
27,28,sandslash,"['sand-veil', 'sand-rush']",yellow,upright,rough-terrain,0.35,10,295,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
28,29,nidoran-f,"['poison-point', 'rivalry', 'hustle']",blue,quadruped,grassland,0.92,4,70,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
29,30,nidorina,"['poison-point', 'rivalry', 'hustle']",blue,quadruped,grassland,0.47,8,200,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
30,31,nidoqueen,"['poison-point', 'rivalry', 'sheer-force']",blue,upright,grassland,0.18,13,600,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
31,32,nidoran-m,"['poison-point', 'rivalry', 'hustle']",purple,quadruped,grassland,0.92,5,90,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
32,33,nidorino,"['poison-point', 'rivalry', 'hustle']",purple,quadruped,grassland,0.47,9,195,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
33,34,nidoking,"['poison-point', 'rivalry', 'sheer-force']",purple,upright,grassland,0.18,14,620,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
34,35,clefairy,"['cute-charm', 'magic-guard', 'friend-guard']",pink,upright,mountain,0.59,6,75,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
35,36,clefable,"['cute-charm', 'magic-guard', 'unaware']",pink,upright,mountain,0.1,13,400,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
36,37,vulpix,"['flash-fire', 'drought']",brown,quadruped,grassland,0.75,6,99,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
37,38,ninetales,"['flash-fire', 'drought']",yellow,quadruped,grassland,0.29,11,199,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
38,39,jigglypuff,"['cute-charm', 'competitive', 'friend-guard']",pink,humanoid,grassland,0.67,5,55,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
39,40,wigglytuff,"['cute-charm', 'competitive', 'frisk']",pink,humanoid,grassland,0.2,10,120,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
40,41,zubat,"['inner-focus', 'infiltrator']",purple,wings,cave,1.0,8,75,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
41,42,golbat,"['inner-focus', 'infiltrator']",purple,wings,cave,0.35,16,550,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
42,43,oddish,"['chlorophyll', 'run-away']",blue,legs,grassland,1.0,5,54,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
43,44,gloom,"['chlorophyll', 'stench']",blue,humanoid,grassland,0.47,8,86,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
44,45,vileplume,"['chlorophyll', 'effect-spore']",red,humanoid,grassland,0.18,12,186,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
45,46,paras,"['effect-spore', 'dry-skin', 'damp']",red,armor,forest,0.75,3,54,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
46,47,parasect,"['effect-spore', 'dry-skin', 'damp']",red,armor,forest,0.29,10,295,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
47,48,venonat,"['compound-eyes', 'tinted-lens', 'run-away']",purple,humanoid,forest,0.75,10,300,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
48,49,venomoth,"['shield-dust', 'tinted-lens', 'wonder-skin']",purple,bug-wings,forest,0.29,15,125,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
49,50,diglett,"['sand-veil', 'arena-trap', 'sand-force']",brown,blob,cave,1.0,2,8,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
50,51,dugtrio,"['sand-veil', 'arena-trap', 'sand-force']",brown,heads,cave,0.2,7,333,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
51,52,meowth,"['pickup', 'technician', 'unnerve']",yellow,quadruped,urban,1.0,4,42,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
52,53,persian,"['limber', 'technician', 'unnerve']",yellow,quadruped,urban,0.35,10,320,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
53,54,psyduck,"['damp', 'cloud-nine', 'swift-swim']",yellow,upright,waters-edge,0.75,8,196,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
54,55,golduck,"['damp', 'cloud-nine', 'swift-swim']",blue,upright,waters-edge,0.29,17,766,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
55,56,mankey,"['vital-spirit', 'anger-point', 'defiant']",brown,upright,mountain,0.75,5,280,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
56,57,primeape,"['vital-spirit', 'anger-point', 'defiant']",brown,upright,mountain,0.29,10,320,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
57,58,growlithe,"['intimidate', 'flash-fire', 'justified']",brown,quadruped,grassland,0.75,7,190,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
58,59,arcanine,"['intimidate', 'flash-fire', 'justified']",brown,quadruped,grassland,0.29,19,1550,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
59,60,poliwag,"['water-absorb', 'damp', 'swift-swim']",blue,legs,waters-edge,1.0,6,124,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
60,61,poliwhirl,"['water-absorb', 'damp', 'swift-swim']",blue,humanoid,waters-edge,0.47,10,200,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
61,62,poliwrath,"['water-absorb', 'damp', 'swift-swim']",blue,humanoid,waters-edge,0.18,13,540,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
62,63,abra,"['synchronize', 'inner-focus', 'magic-guard']",brown,upright,urban,0.78,9,195,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
63,64,kadabra,"['synchronize', 'inner-focus', 'magic-guard']",brown,upright,urban,0.39,13,565,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
64,65,alakazam,"['synchronize', 'inner-focus', 'magic-guard']",brown,humanoid,urban,0.2,15,480,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
65,66,machop,"['guts', 'no-guard', 'steadfast']",gray,upright,mountain,0.71,8,195,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
66,67,machoke,"['guts', 'no-guard', 'steadfast']",gray,humanoid,mountain,0.35,15,705,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
67,68,machamp,"['guts', 'no-guard', 'steadfast']",gray,humanoid,mountain,0.18,16,1300,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
68,69,bellsprout,"['chlorophyll', 'gluttony']",green,humanoid,forest,1.0,7,40,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
69,70,weepinbell,"['chlorophyll', 'gluttony']",green,blob,forest,0.47,10,64,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
70,71,victreebel,"['chlorophyll', 'gluttony']",green,blob,forest,0.18,17,155,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
71,72,tentacool,"['clear-body', 'liquid-ooze', 'rain-dish']",blue,tentacles,sea,0.75,9,455,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
72,73,tentacruel,"['clear-body', 'liquid-ooze', 'rain-dish']",blue,tentacles,sea,0.24,16,550,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
73,74,geodude,"['rock-head', 'sturdy', 'sand-veil']",brown,arms,mountain,1.0,4,200,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
74,75,graveler,"['rock-head', 'sturdy', 'sand-veil']",brown,humanoid,mountain,0.47,10,1050,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
75,76,golem,"['rock-head', 'sturdy', 'sand-veil']",brown,humanoid,mountain,0.18,14,3000,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
76,77,ponyta,"['run-away', 'flash-fire', 'flame-body']",yellow,quadruped,grassland,0.75,10,300,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
77,78,rapidash,"['run-away', 'flash-fire', 'flame-body']",yellow,quadruped,grassland,0.24,17,950,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
78,79,slowpoke,"['oblivious', 'own-tempo', 'regenerator']",pink,quadruped,waters-edge,0.75,12,360,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
79,80,slowbro,"['oblivious', 'own-tempo', 'regenerator']",pink,upright,waters-edge,0.29,16,785,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
80,81,magnemite,"['magnet-pull', 'sturdy', 'analytic']",gray,arms,rough-terrain,0.75,3,60,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
81,82,magneton,"['magnet-pull', 'sturdy', 'analytic']",gray,heads,rough-terrain,0.24,10,600,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
82,83,farfetchd,"['keen-eye', 'inner-focus', 'defiant']",brown,wings,grassland,0.18,8,150,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
83,84,doduo,"['run-away', 'early-bird', 'tangled-feet']",brown,legs,grassland,0.75,14,392,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
84,85,dodrio,"['run-away', 'early-bird', 'tangled-feet']",brown,legs,grassland,0.18,18,852,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
85,86,seel,"['thick-fat', 'hydration', 'ice-body']",white,fish,sea,0.75,11,900,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
86,87,dewgong,"['thick-fat', 'hydration', 'ice-body']",white,fish,sea,0.29,17,1200,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
87,88,grimer,"['stench', 'sticky-hold', 'poison-touch']",purple,arms,urban,0.75,9,300,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
88,89,muk,"['stench', 'sticky-hold', 'poison-touch']",purple,arms,urban,0.29,12,300,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
89,90,shellder,"['shell-armor', 'skill-link', 'overcoat']",purple,ball,sea,0.75,3,40,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
90,91,cloyster,"['shell-armor', 'skill-link', 'overcoat']",purple,ball,sea,0.24,15,1325,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
91,92,gastly,['levitate'],purple,ball,cave,0.75,13,1,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
92,93,haunter,['levitate'],purple,arms,cave,0.35,16,1,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
93,94,gengar,['cursed-body'],purple,upright,cave,0.18,15,405,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
94,95,onix,"['rock-head', 'sturdy', 'weak-armor']",gray,squiggle,cave,0.18,88,2100,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
95,96,drowzee,"['insomnia', 'forewarn', 'inner-focus']",yellow,humanoid,grassland,0.75,10,324,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
96,97,hypno,"['insomnia', 'forewarn', 'inner-focus']",yellow,humanoid,grassland,0.29,16,756,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
97,98,krabby,"['hyper-cutter', 'shell-armor', 'sheer-force']",red,armor,waters-edge,0.88,4,65,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
98,99,kingler,"['hyper-cutter', 'shell-armor', 'sheer-force']",red,armor,waters-edge,0.24,13,600,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
99,100,voltorb,"['soundproof', 'static', 'aftermath']",red,ball,urban,0.75,5,104,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
100,101,electrode,"['soundproof', 'static', 'aftermath']",red,ball,urban,0.24,12,666,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
101,102,exeggcute,"['chlorophyll', 'harvest']",pink,heads,forest,0.35,4,25,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
102,103,exeggutor,"['chlorophyll', 'harvest']",yellow,legs,forest,0.18,20,1200,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
103,104,cubone,"['rock-head', 'lightning-rod', 'battle-armor']",brown,upright,mountain,0.75,4,65,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
104,105,marowak,"['rock-head', 'lightning-rod', 'battle-armor']",brown,upright,mountain,0.29,10,450,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
105,106,hitmonlee,"['limber', 'reckless', 'unburden']",brown,humanoid,urban,0.18,15,498,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
106,107,hitmonchan,"['keen-eye', 'iron-fist', 'inner-focus']",brown,humanoid,urban,0.18,14,502,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
107,108,lickitung,"['own-tempo', 'oblivious', 'cloud-nine']",pink,upright,grassland,0.18,12,655,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
108,109,koffing,"['levitate', 'neutralizing-gas', 'stench']",purple,ball,urban,0.75,6,10,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
109,110,weezing,"['levitate', 'neutralizing-gas', 'stench']",purple,heads,urban,0.24,12,95,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
110,111,rhyhorn,"['lightning-rod', 'rock-head', 'reckless']",gray,quadruped,rough-terrain,0.47,10,1150,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
111,112,rhydon,"['lightning-rod', 'rock-head', 'reckless']",gray,upright,rough-terrain,0.24,19,1200,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
112,113,chansey,"['natural-cure', 'serene-grace', 'healer']",pink,upright,urban,0.12,11,346,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
113,114,tangela,"['chlorophyll', 'leaf-guard', 'regenerator']",blue,legs,grassland,0.18,10,350,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
114,115,kangaskhan,"['early-bird', 'scrappy', 'inner-focus']",brown,upright,grassland,0.18,22,800,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
115,116,horsea,"['swift-swim', 'sniper', 'damp']",blue,blob,sea,0.88,4,80,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
116,117,seadra,"['poison-point', 'sniper', 'damp']",blue,blob,sea,0.29,12,250,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
117,118,goldeen,"['swift-swim', 'water-veil', 'lightning-rod']",red,fish,waters-edge,0.88,6,150,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png
118,119,seaking,"['swift-swim', 'water-veil', 'lightning-rod']",red,fish,waters-edge,0.24,13,390,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png
119,120,staryu,"['illuminate', 'natural-cure', 'analytic']",brown,blob,sea,0.88,8,345,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png
120,121,starmie,"['illuminate', 'natural-cure', 'analytic']",purple,blob,sea,0.24,11,800,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png
121,122,mr-mime,"['soundproof', 'filter', 'technician']",pink,humanoid,urban,0.18,13,545,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
122,123,scyther,"['swarm', 'technician', 'steadfast']",green,bug-wings,grassland,0.18,15,560,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png
123,124,jynx,"['oblivious', 'forewarn', 'dry-skin']",red,humanoid,urban,0.18,14,406,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png
124,125,electabuzz,"['static', 'vital-spirit']",yellow,upright,grassland,0.18,11,300,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png
125,126,magmar,"['flame-body', 'vital-spirit']",red,upright,mountain,0.18,13,445,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png
126,127,pinsir,"['hyper-cutter', 'mold-breaker', 'moxie']",brown,humanoid,forest,0.18,15,550,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png
127,128,tauros,"['intimidate', 'anger-point', 'sheer-force']",brown,quadruped,grassland,0.18,14,884,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
128,129,magikarp,"['swift-swim', 'rattled']",red,fish,waters-edge,1.0,9,100,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png
129,130,gyarados,"['intimidate', 'moxie']",blue,squiggle,waters-edge,0.18,65,2350,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png
130,131,lapras,"['water-absorb', 'shell-armor', 'hydration']",blue,fish,sea,0.18,25,2200,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png
131,132,ditto,"['limber', 'imposter']",purple,ball,urban,0.14,3,40,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png
132,133,eevee,"['run-away', 'adaptability', 'anticipation']",brown,quadruped,urban,0.18,3,65,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
133,134,vaporeon,"['water-absorb', 'hydration']",blue,quadruped,urban,0.18,10,290,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png
134,135,jolteon,"['volt-absorb', 'quick-feet']",yellow,quadruped,urban,0.18,8,245,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png
135,136,flareon,"['flash-fire', 'guts']",red,quadruped,urban,0.18,9,250,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png
136,137,porygon,"['trace', 'download', 'analytic']",pink,legs,urban,0.18,8,365,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png
137,138,omanyte,"['swift-swim', 'shell-armor', 'weak-armor']",blue,tentacles,sea,0.18,4,75,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png
138,139,omastar,"['swift-swim', 'shell-armor', 'weak-armor']",blue,tentacles,sea,0.18,10,350,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png
139,140,kabuto,"['swift-swim', 'battle-armor', 'weak-armor']",brown,armor,sea,0.18,5,115,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png
140,141,kabutops,"['swift-swim', 'battle-armor', 'weak-armor']",brown,upright,sea,0.18,13,405,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png
141,142,aerodactyl,"['rock-head', 'pressure', 'unnerve']",purple,wings,mountain,0.18,18,590,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
142,143,snorlax,"['immunity', 'thick-fat', 'gluttony']",black,humanoid,mountain,0.1,21,4600,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png
143,144,articuno,"['pressure', 'snow-cloak']",blue,wings,rare,0.01,17,554,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
144,145,zapdos,"['pressure', 'static']",yellow,wings,rare,0.01,16,526,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png
145,146,moltres,"['pressure', 'flame-body']",yellow,wings,rare,0.01,20,600,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png
146,147,dratini,"['shed-skin', 'marvel-scale']",blue,squiggle,waters-edge,0.18,18,33,dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png
147,148,dragonair,"['shed-skin', 'marvel-scale']",blue,squiggle,waters-edge,0.18,40,165,dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png
148,149,dragonite,"['inner-focus', 'multiscale']",brown,upright,waters-edge,0.18,22,2100,dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png
149,150,mewtwo,"['pressure', 'unnerve']",purple,upright,rare,0.01,20,1220,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png
150,151,mew,['synchronize'],pink,upright,rare,0.18,4,40,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png
151,152,chikorita,"['overgrow', 'leaf-guard']",green,quadruped,grassland,0.18,9,64,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png
152,153,bayleef,"['overgrow', 'leaf-guard']",green,quadruped,grassland,0.18,12,158,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
153,154,meganium,"['overgrow', 'leaf-guard']",green,quadruped,grassland,0.18,18,1005,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png
